Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.868386374,TV,Unigram_Bigram,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.886,TV,Unigram_Bigram,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.844,TV,Unigram_Bigram,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.864177998,TV,Unigram_Bigram,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.903313483,TV,Unigram_Bigram,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.895,TV,Unigram_Bigram,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.839,TV,Unigram_Bigram,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.865258096,TV,Unigram_Bigram,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.793836378,TV,Unigram_Bigram_Trigram,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.885,TV,Unigram_Bigram_Trigram,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.677,TV,Unigram_Bigram_Trigram,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.765527217,TV,Unigram_Bigram_Trigram,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.94847044,TV,Unigram_Bigram_Trigram,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.962,TV,Unigram_Bigram_Trigram,2k
MX,meanRecall,cv_MX_train.meanRecall,0.933,TV,Unigram_Bigram_Trigram,2k
MX,meanFscore,cv_MX_train.meanFscore,0.946899405,TV,Unigram_Bigram_Trigram,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.809411215,TV,Unigram_Bigram_Trigram,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.791,TV,Unigram_Bigram_Trigram,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.844,TV,Unigram_Bigram_Trigram,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.815312999,TV,Unigram_Bigram_Trigram,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.823009216,TV,Unigram_Bigram_Trigram,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.817,TV,Unigram_Bigram_Trigram,2k
BG,meanRecall,cv_BG_train.meanRecall,0.835,TV,Unigram_Bigram_Trigram,2k
BG,meanFscore,cv_BG_train.meanFscore,0.82405744,TV,Unigram_Bigram_Trigram,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.776606042,TV,Unigram_Bigram_Trigram,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.766,TV,Unigram_Bigram_Trigram,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.806,TV,Unigram_Bigram_Trigram,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.782821268,TV,Unigram_Bigram_Trigram,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.870124819,TV,Unigram_Bigram_Trigram,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.872,TV,Unigram_Bigram_Trigram,2k
RF,meanRecall,cv_RF_train.meanRecall,0.869,TV,Unigram_Bigram_Trigram,2k
RF,meanFscore,cv_RF_train.meanFscore,0.869531975,TV,Unigram_Bigram_Trigram,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500451891,TV,Unigram_Bigram_Trigram,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.501,TV,Unigram_Bigram_Trigram,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,TV,Unigram_Bigram_Trigram,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.667179162,TV,Unigram_Bigram_Trigram,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.862507057,TV,Unigram_Bigram_Trigram,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.879,TV,Unigram_Bigram_Trigram,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.842,TV,Unigram_Bigram_Trigram,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.859820995,TV,Unigram_Bigram_Trigram,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.905877188,TV,Unigram_Bigram_Trigram,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.892,TV,Unigram_Bigram_Trigram,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.839,TV,Unigram_Bigram_Trigram,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.863170735,TV,Unigram_Bigram_Trigram,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.799138431,TV,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.891,TV,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.683,TV,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.772679529,TV,Unigram_Bigram_Trigram_Composite,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.95464418,TV,Unigram_Bigram_Trigram_Composite,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.965,TV,Unigram_Bigram_Trigram_Composite,2k
MX,meanRecall,cv_MX_train.meanRecall,0.946,TV,Unigram_Bigram_Trigram_Composite,2k
MX,meanFscore,cv_MX_train.meanFscore,0.955163937,TV,Unigram_Bigram_Trigram_Composite,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.641961907,TV,Unigram_Bigram_Trigram_Composite,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.612,TV,Unigram_Bigram_Trigram_Composite,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.778,TV,Unigram_Bigram_Trigram_Composite,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.684132235,TV,Unigram_Bigram_Trigram_Composite,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.835848376,TV,Unigram_Bigram_Trigram_Composite,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.823,TV,Unigram_Bigram_Trigram_Composite,2k
BG,meanRecall,cv_BG_train.meanRecall,0.857,TV,Unigram_Bigram_Trigram_Composite,2k
BG,meanFscore,cv_BG_train.meanFscore,0.838803006,TV,Unigram_Bigram_Trigram_Composite,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.810808396,TV,Unigram_Bigram_Trigram_Composite,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.802,TV,Unigram_Bigram_Trigram_Composite,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.827,TV,Unigram_Bigram_Trigram_Composite,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.813240287,TV,Unigram_Bigram_Trigram_Composite,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.873296245,TV,Unigram_Bigram_Trigram_Composite,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.868,TV,Unigram_Bigram_Trigram_Composite,2k
RF,meanRecall,cv_RF_train.meanRecall,0.881,TV,Unigram_Bigram_Trigram_Composite,2k
RF,meanFscore,cv_RF_train.meanFscore,0.873516952,TV,Unigram_Bigram_Trigram_Composite,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500715445,TV,Unigram_Bigram_Trigram_Composite,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.502,TV,Unigram_Bigram_Trigram_Composite,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,TV,Unigram_Bigram_Trigram_Composite,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.667734486,TV,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.811484795,TV,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.823,TV,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.796,TV,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.807413138,TV,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.890948557,TV,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.864,TV,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.889,TV,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.87558339,TV,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.732941114,TV,Neg_Pos,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.794,TV,Neg_Pos,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.628,TV,Neg_Pos,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.699171836,TV,Neg_Pos,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.810017936,TV,Neg_Pos,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.826,TV,Neg_Pos,2k
MX,meanRecall,cv_MX_train.meanRecall,0.79,TV,Neg_Pos,2k
MX,meanFscore,cv_MX_train.meanFscore,0.806170579,TV,Neg_Pos,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.575151817,TV,Neg_Pos,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.547,TV,Neg_Pos,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.874,TV,Neg_Pos,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.672366913,TV,Neg_Pos,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.777715819,TV,Neg_Pos,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.776,TV,Neg_Pos,2k
BG,meanRecall,cv_BG_train.meanRecall,0.786,TV,Neg_Pos,2k
BG,meanFscore,cv_BG_train.meanFscore,0.780312138,TV,Neg_Pos,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.789296067,TV,Neg_Pos,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.796,TV,Neg_Pos,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.778,TV,Neg_Pos,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.785870073,TV,Neg_Pos,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.806220859,TV,Neg_Pos,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.802,TV,Neg_Pos,2k
RF,meanRecall,cv_RF_train.meanRecall,0.814,TV,Neg_Pos,2k
RF,meanFscore,cv_RF_train.meanFscore,0.806906119,TV,Neg_Pos,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.501011417,TV,Neg_Pos,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,TV,Neg_Pos,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,TV,Neg_Pos,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.66632465,TV,Neg_Pos,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.768351937,TV,Neg_Pos,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.79,TV,Neg_Pos,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.738,TV,Neg_Pos,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.76136799,TV,Neg_Pos,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.873625391,TV,Neg_Pos,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.838,TV,Neg_Pos,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.823,TV,Neg_Pos,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.828607965,TV,Neg_Pos,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.539685629,TV,Part_Of_Speech,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.536,TV,Part_Of_Speech,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.859,TV,Part_Of_Speech,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.637269637,TV,Part_Of_Speech,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.70702555,TV,Part_Of_Speech,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.708,TV,Part_Of_Speech,2k
MX,meanRecall,cv_MX_train.meanRecall,0.707,TV,Part_Of_Speech,2k
MX,meanFscore,cv_MX_train.meanFscore,0.706811404,TV,Part_Of_Speech,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.666174561,TV,Part_Of_Speech,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.628,TV,Part_Of_Speech,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.827,TV,Part_Of_Speech,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.713322936,TV,Part_Of_Speech,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.692466797,TV,Part_Of_Speech,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.688,TV,Part_Of_Speech,2k
BG,meanRecall,cv_BG_train.meanRecall,0.707,TV,Part_Of_Speech,2k
BG,meanFscore,cv_BG_train.meanFscore,0.696325326,TV,Part_Of_Speech,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.61363116,TV,Part_Of_Speech,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.592,TV,Part_Of_Speech,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.737,TV,Part_Of_Speech,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.651162258,TV,Part_Of_Speech,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.708063253,TV,Part_Of_Speech,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.704,TV,Part_Of_Speech,2k
RF,meanRecall,cv_RF_train.meanRecall,0.722,TV,Part_Of_Speech,2k
RF,meanFscore,cv_RF_train.meanFscore,0.711542762,TV,Part_Of_Speech,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.501011417,TV,Part_Of_Speech,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,TV,Part_Of_Speech,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,TV,Part_Of_Speech,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.66632465,TV,Part_Of_Speech,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.637596497,TV,Part_Of_Speech,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.675,TV,Part_Of_Speech,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.535,TV,Part_Of_Speech,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.594751666,TV,Part_Of_Speech,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.876881594,TV,Part_Of_Speech,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.718,TV,Part_Of_Speech,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.57,TV,Part_Of_Speech,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.61802438,TV,Part_Of_Speech,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.695891015,TV,Composite_Numerical,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.665,TV,Composite_Numerical,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.846,TV,Composite_Numerical,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.731218598,TV,Composite_Numerical,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.820896855,TV,Composite_Numerical,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.844,TV,Composite_Numerical,2k
MX,meanRecall,cv_MX_train.meanRecall,0.791,TV,Composite_Numerical,2k
MX,meanFscore,cv_MX_train.meanFscore,0.815305512,TV,Composite_Numerical,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.586946676,TV,Composite_Numerical,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.559,TV,Composite_Numerical,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.856,TV,Composite_Numerical,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.675591576,TV,Composite_Numerical,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.797784476,TV,Composite_Numerical,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.795,TV,Composite_Numerical,2k
BG,meanRecall,cv_BG_train.meanRecall,0.803,TV,Composite_Numerical,2k
BG,meanFscore,cv_BG_train.meanFscore,0.798434301,TV,Composite_Numerical,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.789296067,TV,Composite_Numerical,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.796,TV,Composite_Numerical,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.778,TV,Composite_Numerical,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.785870073,TV,Composite_Numerical,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.814327674,TV,Composite_Numerical,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.812,TV,Composite_Numerical,2k
RF,meanRecall,cv_RF_train.meanRecall,0.821,TV,Composite_Numerical,2k
RF,meanFscore,cv_RF_train.meanFscore,0.815709253,TV,Composite_Numerical,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.501011417,TV,Composite_Numerical,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,TV,Composite_Numerical,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,TV,Composite_Numerical,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.66632465,TV,Composite_Numerical,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.793106829,TV,Composite_Numerical,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.82,TV,Composite_Numerical,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.756,TV,Composite_Numerical,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.785463562,TV,Composite_Numerical,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.8687564,TV,Composite_Numerical,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.829,TV,Composite_Numerical,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.842,TV,Composite_Numerical,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.834600009,TV,Composite_Numerical,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.708453402,VS,Unigram,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.802,VS,Unigram,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.549,VS,Unigram,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.650898698,VS,Unigram,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.932295303,VS,Unigram,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.936,VS,Unigram,2k
MX,meanRecall,cv_MX_train.meanRecall,0.927,VS,Unigram,2k
MX,meanFscore,cv_MX_train.meanFscore,0.931068373,VS,Unigram,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.784413582,VS,Unigram,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.764,VS,Unigram,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.822,VS,Unigram,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.791253011,VS,Unigram,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.78335141,VS,Unigram,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.764,VS,Unigram,2k
BG,meanRecall,cv_BG_train.meanRecall,0.819,VS,Unigram,2k
BG,meanFscore,cv_BG_train.meanFscore,0.789402711,VS,Unigram,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.735497538,VS,Unigram,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.687,VS,Unigram,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.868,VS,Unigram,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.766333565,VS,Unigram,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.836125916,VS,Unigram,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.844,VS,Unigram,2k
RF,meanRecall,cv_RF_train.meanRecall,0.825,VS,Unigram,2k
RF,meanFscore,cv_RF_train.meanFscore,0.833709742,VS,Unigram,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499555208,VS,Unigram,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,VS,Unigram,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,VS,Unigram,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666102922,VS,Unigram,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.832429871,VS,Unigram,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.838,VS,Unigram,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.82,VS,Unigram,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.827967401,VS,Unigram,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.904324024,VS,Unigram,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.892,VS,Unigram,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.804,VS,Unigram,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.844453863,VS,Unigram,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.705661231,VS,Unigram_Composite,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.802,VS,Unigram_Composite,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.544,VS,Unigram_Composite,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.646613842,VS,Unigram_Composite,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.949906128,VS,Unigram_Composite,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.95,VS,Unigram_Composite,2k
MX,meanRecall,cv_MX_train.meanRecall,0.95,VS,Unigram_Composite,2k
MX,meanFscore,cv_MX_train.meanFscore,0.949666174,VS,Unigram_Composite,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.62212923,VS,Unigram_Composite,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.6,VS,Unigram_Composite,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.734,VS,Unigram_Composite,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.658329635,VS,Unigram_Composite,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.823920337,VS,Unigram_Composite,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.822,VS,Unigram_Composite,2k
BG,meanRecall,cv_BG_train.meanRecall,0.828,VS,Unigram_Composite,2k
BG,meanFscore,cv_BG_train.meanFscore,0.824566469,VS,Unigram_Composite,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.774225328,VS,Unigram_Composite,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.801,VS,Unigram_Composite,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.733,VS,Unigram_Composite,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.761796961,VS,Unigram_Composite,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.864289972,VS,Unigram_Composite,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.851,VS,Unigram_Composite,2k
RF,meanRecall,cv_RF_train.meanRecall,0.884,VS,Unigram_Composite,2k
RF,meanFscore,cv_RF_train.meanFscore,0.866780357,VS,Unigram_Composite,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499426978,VS,Unigram_Composite,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.501,VS,Unigram_Composite,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,VS,Unigram_Composite,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666732494,VS,Unigram_Composite,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.81054002,VS,Unigram_Composite,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.816,VS,Unigram_Composite,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.806,VS,Unigram_Composite,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.809447982,VS,Unigram_Composite,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.872069006,VS,Unigram_Composite,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.847,VS,Unigram_Composite,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.858,VS,Unigram_Composite,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.851119317,VS,Unigram_Composite,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.735493958,VS,Unigram_Bigram,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.836,VS,Unigram_Bigram,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.588,VS,Unigram_Bigram,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.68981419,VS,Unigram_Bigram,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.947789364,VS,Unigram_Bigram,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.955,VS,Unigram_Bigram,2k
MX,meanRecall,cv_MX_train.meanRecall,0.942,VS,Unigram_Bigram,2k
MX,meanFscore,cv_MX_train.meanFscore,0.948334545,VS,Unigram_Bigram,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.792852396,VS,Unigram_Bigram,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.773,VS,Unigram_Bigram,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.83,VS,Unigram_Bigram,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.799967849,VS,Unigram_Bigram,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.810982664,VS,Unigram_Bigram,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.825,VS,Unigram_Bigram,2k
BG,meanRecall,cv_BG_train.meanRecall,0.79,VS,Unigram_Bigram,2k
BG,meanFscore,cv_BG_train.meanFscore,0.805578963,VS,Unigram_Bigram,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.730280705,VS,Unigram_Bigram,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.68,VS,Unigram_Bigram,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.87,VS,Unigram_Bigram,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.7629208,VS,Unigram_Bigram,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.854608083,VS,Unigram_Bigram,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.87,VS,Unigram_Bigram,2k
RF,meanRecall,cv_RF_train.meanRecall,0.835,VS,Unigram_Bigram,2k
